SCHOOL_YEAR,PUBLIC_OR_INDEPENDENT,DISTRICT_NUMBER,DISTRICT_LONG_NAME_THIS_ENROL,SCHOOL_NUMBER,SCHOOL_NAME,SCHOOL_FACILITY_TYPE,SCHOOL_PHYSICAL_ADDRESS,SCHOOL_CITY,SCHOOL_PROVINCE,SCHOOL_POSTAL_CODE,SCHOOL_PHONE_NUMBER,SCHOOL_FAX_NUMBER,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,ORGANIZATION_EDUCATION_LEVEL,GRADE_STRING,HAS_ELEMENTARY_GRADES_FLAG,HAS_SECONDARY_GRADES_FLAG
2013/2014,BC Public School,20,Kootenay-Columbia,2011009,James L Webster Elementary,Standard,"395 SCHOFIELD HWY, TRAIL, BC",TRAIL,BC,V1R2G5,250 368-3242,250 368-6911,49.09537,-117.74501,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,20,Kootenay-Columbia,2011012,J Lloyd Crowe Secondary,Standard,"1300 FRANCES MORAN RD, TRAIL, BC",TRAIL,BC,V1R4L9,250 368-5591,250 364-1567,49.10294,-117.699,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,20,Kootenay-Columbia,2011014,Rossland Secondary,Standard,"2390 JUBILEE ST, ROSSLAND, BC",ROSSLAND,BC,V0G1Y0,250 362-7388,250 362-5739,49.08076,-117.79979,ELEMENTARY JR SECONDARY,K-9,TRUE,TRUE
2013/2014,BC Public School,20,Kootenay-Columbia,2011015,Glenmerry Elementary,Standard,"3660 CARNATION DR, TRAIL, BC",TRAIL,BC,V1R2W6,250 364-1353,250 364-9819,49.09881,-117.66131,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,20,Kootenay-Columbia,2020000,Continuing Ed SD 20,Continuing Ed,"601 7TH AVE, CASTLEGAR, BC",CASTLEGAR,BC,V1N1R6,250 365-0771,250 365-0791,49.32238,-117.65954,SENIOR SECONDARY,12,FALSE,TRUE
2013/2014,BC Public School,20,Kootenay-Columbia,2020021,Robson Community School,Standard,"3131 WALDIE AVE, ROBSON, BC",ROBSON,BC,V0G1X0,250 365-5922,250 365-3384,49.33492,-117.69907,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,20,Kootenay-Columbia,2099090,On-Line Learning Centre,Alternate,"601 7TH AVE, CASTLEGAR, BC",CASTLEGAR,BC,V1N1R6,250 365-0771,250 365-0791,49.32238,-117.65954,SECONDARY,12-Sep,FALSE,TRUE
2013/2014,BC Public School,20,Kootenay-Columbia,2099137,Kootenay-Columbia Learning Centre,Alternate,"2000 3RD AVE, TRAIL, BC",TRAIL,BC,V1R1R6,250 364-1275,250 364-5743,49.09701,-117.69486,ELEMENTARY SECONDARY,12-Jun,TRUE,TRUE
2013/2014,BC Public School,22,Vernon,2222000,Continuing Ed SD 22,Continuing Ed,"2901 29 ST, VERNON, BC",VERNON,BC,V1T5A5,250 549-3546,250 549-0411,50.26297,-119.26904,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,22,Vernon,2222001,Beairsto Elementary,Standard,"3302 27 ST, VERNON, BC",VERNON,BC,V1T4W7,250 542-1388,250 542-8524,50.26604,-119.2667,ELEMENTARY,07-Jan,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222002,Coldstream Elementary,Standard,"10104 KALAMALKA RD, COLDSTREAM, BC",COLDSTREAM,BC,V1B1L7,250 545-0597,250 545-2030,50.22361,-119.2332,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222005,Cherryville Elementary,Standard,"108 NORTH FORK RD, CHERRYVILLE, BC",CHERRYVILLE,BC,V0E2G3,250 547-6163,250 547-0142,50.2443,-118.61515,ELEMENTARY,K-6,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222006,Lavington Elementary,Standard,"9715 SCHOOL RD, VERNON, BC",VERNON,BC,V1B3G4,250 545-1710,250 545-7158,50.23148,-119.10729,ELEMENTARY,K-7,TRUE,FALSE
2013/2014,BC Public School,22,Vernon,2222007,W L Seaton Secondary,Standard,"2701 41 AVE, VERNON, BC",VERNON,BC,V1T6X3,250 542-3361,250 542-6076,50.27247,-119.26746,SECONDARY,12-Aug,FALSE,TRUE
2013/2014,BC Public School,22,Vernon,2222009,Harwood Elementary,Standard,"4320 20 ST, VERNON, BC",VERNON,BC,V1T4E3,250 542-5385,250 542-2863,50.27605,-119.25852,ELEMENTARY,K-7,TRUE,FALSE
